== Run Health Read Model Validation ==
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/governed-lifecycle-terminology-promote-execute-after-registry-refresh-workflow-promote-proposal/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/governed-lifecycle-terminology-promote-execute-after-registry-refresh-workflow-validate-proposal/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/governed-lifecycle-terminology-promote-execute-after-routing-fix-workflow/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/governed-lifecycle-terminology-promote-execute-after-routing-fix-workflow-validate-proposal/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/governed-lifecycle-terminology-promote-execute-inprocess-workflow-workflow/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/governed-lifecycle-terminology-promote-execute-inprocess-workflow-workflow-validate-proposal/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/lifecycle-proposal-program-1778904192406-8da93d7a-workflow-history-replay-idempotency-compensation/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/lifecycle-proposal-program-1778904192406-8da93d7a-workflow-history-replay-idempotency-compensation-promote-proposal/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/lifecycle-proposal-program-1778904192406-8da93d7a-workflow-history-replay-idempotency-compensation-validate-proposal/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/lifecycle-proposal-program-1780190262756-35ae2026-proposal-program-runner-current-state-gap-map-workflow/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/lifecycle-proposal-program-1780190262756-35ae2026-proposal-program-runner-current-state-gap-map-workflow-promote-proposal/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
[ERROR] /Users/jamesryancooper/Projects/octon/.octon/generated/cognition/projections/materialized/runs/lifecycle-proposal-program-1780190262756-35ae2026-proposal-program-runner-current-state-gap-map-workflow-validate-proposal/health.yml: digest drift for runtime_route_bundle: expected sha256:914f90e7c3f2ff6c04fa6445cafa529e4f5b68232d4fef20899413af6094941a, got sha256:51346ae6fb3aa96d7c7c4582b497fd3c09f883e14c333b6457e0721967557c4a
